
94) Smooth : -131.40909
95) Smooth : -134.75729
96) Smooth : -137.68268
97) Smooth : -140.84156
98) Smooth : -144.18602
99) Smooth : -146.37969
100) Smooth : -149.97430
101) Smooth : -152.08001
102) Smooth : -154.90269
103) Smooth : -156.75605
104) Smooth : -158.39839
105) Smooth : -160.92901
106) Smooth : -163.53942
107) Smooth : -164.59893
108) Smooth : -166.42791
109) Smooth : -168.53699
110) Smooth : -170.10161
111) Smooth : -171.98832
112) Smooth : -173.18825
113) Smooth : -175.38473
114) Smooth : -176.12252
115) Smooth : -177.48589
116) Smooth : -177.99050
117) Smooth : -179.94189
118) Smooth : -181.66548
119) Smooth : -183.55213
120) Smooth : -185.70996
121) Smooth : -186.83118
122) Smooth : -187.65852
123) Smooth : -187.99566
124) Smooth : -190.50831
125) Smooth : -192.07264
126) Smooth : -193.34319
127) Smooth : -195.22893
128) Smooth : -195.94929
