
691) Value  : -126.94226
692) Value  : -128.50883
693) Value  : -130.30081
694) Value  : -125.15308
695) Value  : -130.30460
696) Value  : -126.88022
697) Value  : -132.39412
698) Value  : -130.08075
699) Value  : -131.32539
700) Value  : -135.15203
701) Value  : -134.64211
702) Value  : -136.76350
703) Value  : -134.46138
704) Value  : -133.70966
705) Value  : -129.29323
706) Value  : -135.54536
707) Value  : -133.32451
708) Value  : -130.02411
709) Value  : -133.34087
710) Value  : -133.09184
711) Value  : -132.36724
712) Value  : -136.65874
713) Value  : -137.63644
714) Value  : -135.71994
715) Value  : -133.28607
716) Value  : -132.77712
717) Value  : -131.90332
718) Value  : -135.13905
719) Value  : -128.85857
720) Value  : -128.99449
721) Value  : -125.48156
722) Value  : -127.32524
723) Value  : -126.44024
724) Value  : -126.31438
725) Value  : -122.59049
726) Value  : -127.25069
727) Value  : -131.12624
728) Value  : -127.12587
729) Value  : -122.32597
730) Value  : -125.78752
731) Value  : -121.65582
732) Value  : -117.88501
733) Value  : -119.50875
734) Value  : -120.36437
735) Value  : -116.71404
736) Value  : -118.03165
737) Value  : -115.05638
738) Value  : -114.21538
739) Value  : -111.17501
740) Value  : -107.68913
741) Value  : -111.28779
742) Value  : -111.36686
743) Value  : -106.73233
744) Value  : -109.97841
745) Value  : -107.08351
746) Value  : -102.94847
747) Value  : -99.74070
748) Value  : -104.64297
749) Value  : -96.88893
750) Value  : -99.99261
751) Value  : -95.91915
752) Value  : -93.30622
753) Value  : -91.46426
754) Value  : -93.02500
755) Value  : -92.94083
756) Value  : -86.15349
757) Value  : -82.05556
758) Value  : -87.12913
759) Value  : -82.91054
760) Value  : -76.65813
761) Value  : -77.06309
762) Value  : -74.47872
763) Value  : -72.47399
764) Value  : -70.60591
765) Value  : -66.93449
766) Value  : -71.67334
767) Value  : -64.83379
768) Value  : -65.23598
769) Value  : -61.24925
770) Value  : -61.43196
771) Value  : -64.65174
772) Value  : -58.22588
773) Value  : -48.78154
774) Value  : -52.95050
775) Value  : -47.12026
776) Value  : -48.00276
777) Value  : -48.65744
778) Value  : -41.78502
779) Value  : -37.77484
780) Value  : -37.90143
781) Value  : -38.15405
782) Value  : -35.68166
783) Value  : -31.11548
784) Value  : -31.64250
785) Value  : -32.42237
786) Value  : -28.23263
787) Value  : -30.33107
788) Value  : -21.14660
789) Value  : -20.10197
790) Value  : -16.47576
791) Value  : -16.79700
792) Value  : -7.30421
793) Value  : -9.23042
794) Value  : -6.52024
795) Value  : -9.42681
796) Value  : -6.27747
797) Value  : -7.04279
798) Value  : 3.38806
799) Value  : -1.89796
800) Value  : 2.79244
801) Value  : 10.15402
802) Value  : 9.84213
803) Value  : 15.09321
804) Value  : 18.04289
805) Value  : 11.14213
806) Value  : 19.66271
807) Value  : 24.63076
808) Value  : 26.80582
809) Value  : 21.08972
810) Value  : 25.06091
811) Value  : 31.71275
812) Value  : 35.56566
813) Value  : 34.27966
814) Value  : 36.80263
815) Value  : 43.82533
816) Value  : 40.36587
817) Value  : 46.38347
818) Value  : 50.83947
819) Value  : 51.85883
820) Value  : 43.40622
821) Value  : 48.77619
822) Value  : 54.04100
823) Value  : 58.87538
824) Value  : 57.98150
825) Value  : 55.27056
826) Value  : 58.33980
827) Value  : 64.84195
828) Value  : 69.37565
829) Value  : 67.85615
830) Value  : 70.07979
831) Value  : 70.82557
832) Value  : 72.06354
833) Value  : 73.01891
834) Value  : 74.84011
835) Value  : 80.77909
836) Value  : 80.05045
837) Value  : 83.52468
838) Value  : 82.11047
839) Value  : 90.95552
840) Value  : 85.34466
841) Value  : 93.94262
842) Value  : 91.92200
843) Value  : 89.11729
844) Value  : 95.73572
845) Value  : 95.70941
846) Value  : 98.31374
847) Value  : 95.42940
848) Value  : 98.51147
849) Value  : 104.99705
850) Value  : 103.85371
851) Value  : 108.64676
852) Value  : 111.17877
853) Value  : 106.14942
854) Value  : 107.18084
855) Value  : 116.28534
856) Value  : 111.06983
857) Value  : 115.21522
858) Value  : 115.97706
859) Value  : 120.85729
860) Value  : 118.74274
861) Value  : 120.40258
862) Value  : 123.41298
863) Value  : 117.05357
864) Value  : 120.49097
865) Value  : 126.28472
866) Value  : 121.12063
